7.1.1.1	Chapter 1: Studying Life
7.46.3.1.1.1.6	Usually the electrical activity of one or more skeletal muscles is also recorded; this record is called an electromyogram (EMG).
7.46.3.1.1.1.7	Movements of the eyes are recorded as an electroocculogram (EOG).
7.46.3.1.1.1.8	Figure 46.11 Stages of Sleep
7.46.3.1.1.2.1	EEG, EMG, and EOG patterns reveal the transition from being awake to being asleep.
7.46.3.1.1.2.2	They also reveal that there are different states of sleep.
7.46.3.1.1.2.3	In mammals other than humans, two major sleep states are easily distinguished: slow-wave sleep and rapid eye movement (REM) sleep.
7.46.3.1.1.2.4	Slow-wave sleep gets its name from the high-amplitude, slow-frequency waves in the EEG.
7.46.3.1.1.2.5	REM sleep gets its name from jerky movements of the eyeballs that occur during this state.
7.46.3.1.1.2.6	In humans, sleep states are characterized as non-REM sleep and REM sleep.
7.46.3.1.1.2.7	Human non-REM sleep is divided into three stages.
7.46.3.1.1.3.1	When you fall asleep, you first enter stage 1 non-REM sleep, which then progresses through stage 2 to stage 3 (Figure 46.11B).
7.46.3.1.1.3.2	Stage 3 is deep, restorative, slow-wave sleep.
7.46.3.1.1.3.3	This first full cycle of non-REM sleep is followed by an episode of REM sleep.
7.46.3.1.1.3.4	Throughout the night you experience four or five cycles of non-REM and REM sleep (Figure 46.11C).
7.46.3.1.1.3.5	About 80 percent of your sleep is non-REM sleep.
7.46.3.1.1.3.6	The most vivid dreams and nightmares occur during the 20 percent of sleep that is REM sleep.
7.46.3.1.2.1.1	When we are awake, several nuclei (groups of neurons) in the brainstem reticular-activating system are continuously active.
7.46.3.1.2.1.2	Axons from neurons in these nuclei extend to the thalamus and throughout the cerebral cortex, where they release depolarizing neurotransmitters (acetylcholine, norepinephrine, and serotonin).
7.46.3.1.2.1.3	These broadly distributed neurotransmitters keep the resting potential of the neurons of the thalamus and cortex close to threshold and sensitive to synaptic inputs, thereby maintaining the responsiveness of the brain that characterizes being awake.
7.46.3.1.2.2.1	With the onset of sleep, activity in these brainstem nuclei decreases, and their axon terminals release less neurotransmitter.
7.46.3.1.2.2.2	With the withdrawal of the depolarizing neurotransmitters, the resting potentials of the cells of the thalamus and cortex become more negative (hyperpolarized), and the cells are less sensitive to excitatory synaptic input.
7.46.3.1.2.2.3	Their processing of information is inhibited, and consciousness is lost.
7.46.3.1.2.2.4	You have probably experienced this as &#8220;nodding off. &#8221; As you enter non-REM sleep, cells of the cortex begin to fire action potentials in bursts.
7.46.3.1.2.2.5	The synchronization of these bursts over broad areas of cerebral cortex results in the EEG slow-wave pattern that characterizes deep non-REM sleep.
7.46.3.1.2.3.1	At the transition from non-REM to REM sleep, dramatic changes occur.
7.46.3.1.2.3.2	Some of the brainstem nuclei that were inactive during non-REM sleep become active again, causing a general depolarization of cortical neurons.
7.46.3.1.2.3.3	Thus in REM sleep the synchronized bursts of firing cease, and the EEG resembles that of the awake brain.
7.46.3.1.2.3.4	Because the resting potentials of the neurons return to near threshold levels, the cortex can process information, and vivid dreams occur.
7.46.3.1.2.4.1	So why don&#8217;t we act out our dreams?
7.46.3.1.2.4.2	During REM sleep the brain inhibits both afferent (sensory) and efferent (motor) pathways; we are paralyzed during REM sleep.
7.46.3.1.2.4.3	Limb twitches and the jerky eye movements are motor signals breaking through the inhibition.
7.46.3.1.2.4.4	The bizarre nature of dreams may be due to the lack of sensory feedback to the cortex from the body and the outside world.
7.46.3.1.2.4.5	In other words, a functioning cortex is out of touch with reality.
7.46.3.1.2.4.6	The function of muscle paralysis during REM sleep may be to prevent the acting out of dreams.
7.46.3.1.2.5.1	Knowing the cellular mechanisms of sleep has not yet led to an understanding of its function.
7.46.3.1.2.5.2	Many questions remain.
7.46.3.1.2.5.3	Why do we have two sleep states with very different neurophysiological characteristics?
7.46.3.1.2.5.4	Why does non-REM sleep always occur first?
7.46.3.1.2.5.5	Why do the two states cycle during the rest phase?
7.46.3.1.2.5.6	We know sleep is essential for life, but we don&#8217;t know why.
7.46.3.1.2.5.7	One set of hypotheses is that sleep is necessary for the maintenance and repair of neural connections and for the neural changes involved in learning and memory   and possibly forgetting.
7.46.3.1.2.5.8	These hypotheses are supported by many experiments showing that performance of a learned task or recall of declarative information on the day following training is impaired if sleep is prevented, and is best following a good night&#8217;s sleep.
7.46.3.2.1.1	No aspect of brain function is as integrally related to human consciousness and intellect as language.
7.46.3.2.1.2	Therefore brain mechanisms that underlie the acquisition and use of language are extremely interesting to neuroscientists.
7.46.3.2.1.3	A curious observation about language ability is that it resides in one cerebral hemisphere   which in 97 percent of people is the left hemisphere.
7.46.3.2.1.4	This phenomenon is referred to as the lateralization of language functions.
7.46.3.2.2.1	Fascinating research on this subject was conducted by Roger Sperry and his colleagues at the California Institute of Technology.
7.46.3.2.2.2	The two cerebral hemispheres are connected by a tract of white matter called the corpus callosum.
7.46.3.2.2.3	In one severe form of epilepsy, bursts of action potentials causing seizures travel between hemispheres via the corpus callosum.
7.46.3.2.2.4	Cutting the tract eliminates the problem, and patients function well following surgery.
7.46.3.2.2.5	However, these &#8220;split-brain&#8221; subjects display interesting deficits in language ability.
7.46.3.2.3.1	After the surgery, if an object is shown in the right visual field and the left eye is closed (see Figure 46.10), the patient can describe it verbally and in writing.
7.46.3.2.3.2	If the object is shown in the left visual field and the right eye is closed, the patient cannot describe it either verbally or in writing, but can use his or her left hand to point to a picture of the object.
7.46.3.2.3.3	Without the connecting tissue between the two hemispheres, knowledge or experience of the right hemisphere can no longer be expressed in language.
7.46.3.2.4.1	Individuals who have suffered damage to the left hemisphere frequently suffer from some form of aphasia, a deficit in the ability to use or understand words.
7.46.3.2.4.2	Studies of such individuals have identified several language areas in the left hemisphere.
7.46.3.2.5.1	Broca&#8217;s area, located in the frontal lobe just in front of the primary motor cortex, is essential for speech.
7.46.3.2.5.2	Damage to Broca&#8217;s area results in halting, slow, poorly articulated speech or even complete loss of speech, but the patient can still read and understand language.
7.46.3.2.6.1	Wernicke&#8217;s area, located in the temporal lobe close to its border with the occipital lobe, is more involved with sensory than with motor aspects of language.
7.46.3.2.6.2	Damage to Wernicke&#8217;s area can cause a person to lose the ability to speak sensibly while retaining the abilities to form the sounds of normal speech and to imitate its cadence.
